osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/51769225,2,0.998,1.0,81.246,82.335,83.398,3.423,73.197,71.051,8.049,9.139,10.201,10.195,,,,yes,,,,2514.6
way/51769226,1,1.002,1.0,74.797,75.025,75.206,2.635,69.655,69.137,5.143,5.37,5.552,5.66,,,,yes,,,,378.4
way/51769228,1,0.994,1.0,86.877,86.904,87.227,0.515,75.503,75.437,11.374,11.4,11.724,11.44,10.5,levels,0.874,yes,3,,,303.0
way/51769230,1,1.038,1.0,82.459,82.513,82.631,0.372,75.065,74.739,7.393,7.448,7.566,7.72,4.5,levels,2.893,yes,1,,,406.6
way/51769231,1,0.957,1.0,76.194,76.877,77.058,1.569,72.966,72.147,3.227,3.911,4.092,4.047,,,,yes,,,,344.7
way/51769232,1,1.034,1.0,86.448,86.658,87.393,1.943,73.802,73.011,12.646,12.856,13.591,13.438,,,,yes,,,,212.8
way/51769233,1,1.156,1.0,80.442,80.819,80.836,0.871,69.318,68.513,11.124,11.501,11.518,11.929,4.0,height,7.124,yes,,4,,408.2
way/51769234,3,1.045,1.0,65.301,73.049,73.242,0.809,60.669,60.273,4.632,12.38,12.572,5.029,16.5,levels,-11.868,yes,5,,,841.3
way/51769237,1,1.063,1.0,72.806,72.934,73.019,0.461,59.622,59.158,13.184,13.312,13.397,13.648,16.5,levels,-3.316,yes,5,,,915.6
way/51770412,2,0.963,0.833,75.797,76.177,77.05,2.466,60.327,60.05,15.47,15.85,16.723,15.746,16.5,levels,-1.03,yes,5,,,1512.1
way/51770414,1,1.034,1.0,96.512,96.512,98.262,2.92,68.466,66.002,28.046,28.046,29.797,30.51,28.5,levels,-0.454,residential,9,,,1457.2
way/51770415,1,0.999,1.0,101.76,101.959,101.959,0.394,69.821,69.545,31.94,32.139,32.139,32.215,31.5,levels,0.44,residential,10,,,877.2
way/51770417,1,0.954,1.0,77.286,77.3,77.3,0.175,60.376,60.196,16.91,16.923,16.923,17.09,,,,yes,,,,900.6
way/51770419,1,0.931,1.0,79.012,79.444,83.012,11.084,66.849,64.513,12.163,12.595,16.163,14.499,,,,yes,,,Clădirea Fostei Sinagogi „Lemnăria“,1105.4
way/51770420,1,0.855,1.0,70.48,70.48,70.48,0.196,65.883,65.378,4.597,4.597,4.597,5.102,4.5,levels,0.097,commercial,1,,,528.6
way/51770421,1,0.779,1.0,99.819,99.819,99.819,0.0,69.483,69.671,30.336,30.336,30.336,30.148,28.5,levels,1.836,residential,9,,,1195.9
way/51812371,1,0.975,1.0,93.232,93.381,93.456,0.312,82.365,81.841,10.866,11.016,11.091,11.39,10.5,levels,0.366,yes,3,,,808.1
way/52333828,1,0.154,1.0,93.816,94.547,94.767,1.661,87.975,87.909,5.841,6.573,6.793,5.907,10.5,levels,-4.659,yes,3,,,1818.4
way/52333831,1,1.001,1.0,97.553,98.789,100.098,4.856,86.409,86.38,11.143,12.38,13.689,11.172,,,,yes,,,Casa Armatei Naționale,2591.8
way/52333833,1,1.063,1.0,100.992,101.03,101.033,0.155,87.907,87.6,13.085,13.123,13.126,13.392,,,,yes,,,,547.2
way/52333834,1,0.859,1.0,108.235,110.623,110.668,2.721,88.911,88.554,19.324,21.712,21.757,19.681,,,,yes,,,,646.7
way/525314509,1,0.934,1.0,88.91,89.181,89.4,0.615,72.821,72.581,16.089,16.36,16.579,16.328,10.5,levels,5.589,yes,3,,,389.5
way/530788611,1,0.806,1.0,110.947,111.53,111.536,1.67,102.446,102.182,8.501,9.083,9.09,8.765,,,,yes,,,,137.1
way/549387560,1,0.866,0.75,104.003,104.175,104.175,0.24,81.104,81.055,22.899,23.071,23.071,22.948,20.0,height,2.899,yes,,20 m,Clopotnița,148.8
way/551850996,1,0.987,0.929,114.869,114.874,115.064,3.695,105.987,105.499,8.882,8.888,9.077,9.37,,,,yes,,,Consiliul Superior al Magistraturii,295.4
way/55617159,1,0.905,0.818,69.117,69.299,69.449,0.656,53.984,53.859,15.134,15.315,15.465,15.258,,,,yes,,,,650.8
way/55617162,1,1.102,1.0,59.539,59.601,59.628,0.481,54.793,54.724,4.746,4.808,4.835,4.816,,,,yes,,,,110.6
way/562068917,3,1.021,1.0,101.202,101.812,104.38,3.281,99.025,97.458,2.177,2.787,5.355,3.745,,,,yes,,,,528.7
way/562068918,2,0.088,0.714,103.227,103.227,103.227,0.0,102.197,100.744,1.03,1.03,1.03,2.482,,,,yes,,,,1025.5
